seri;model;titles;year;km;color;prices;date;location
718;Boxster;RAİF OTOMOTİV DEN BAYİ PORSCHE 718 BOXSTER CHRONE 2023 GARANTİLİ;2017;50.000;Gri;3.350.000 TL;"17 Aralık
2022";"İzmir
Gaziemir"
911;Carrera 4S;2007 Model Porcshe Uygun Fiyat;2007;101.552;Gümüş Gri;2.275.000 TL;"17 Aralık
2022";"İstanbul
Beykoz"
Taycan;4S Performance Plus;F-BOSS AUTODAN HATASIZ TAYCAN 571HP SPORT-CHRONO-KIRMIZI KOLTUK;2020;18.000;Beyaz;4.780.000 TL;"17 Aralık
2022";"Mersin
Yenişehir"
911;Carrera;UNİQ CARS HATASIZ BOYASIZ TRAMERSİZ PORSCHE 911 CARRERA CABRİO;2010;72.500;Siyah;3.250.000 TL;"17 Aralık
2022";"İstanbul
Kadıköy"
Panamera;Panamera Diesel;AYDEMİRDEN 2013 PORSCHE PANAMERA DİESEL CRONO KARBON AİRMATİC;2013;326.621;Beyaz;2.600.000 TL;"17 Aralık
2022";"Gaziantep
Şehitkamil"
Panamera;Panamera Diesel;Victor Motors Porshe Panamera 3.0 Dizel TR de Sayılı İçi Kırmızı;2012;235.000;Beyaz;2.450.000 TL;"17 Aralık
2022";"Isparta
Merkez"
Panamera;Panamera Diesel;BARIŞ MOTORS EN DOLUSU AİR-ISITMA SOĞUTMA-CHR­ONO-MAKYAJ;2012;255.000;Beyaz;2.600.000 TL;"17 Aralık
2022";"Batman
Merkez"
Taycan;Turbo S;DOĞUŞ ÇIKIŞLI 5000 KM PORSHE TAYCAN TURBO S 761HP 2025 GARANTİLİ;2020;5.000;Siyah;7.400.000 TL;"17 Aralık
2022";"Bursa
Nilüfer"
Panamera;Panamera Diesel;CEMRE OTO 'dan 2012 PORSCHE PANAMERA - VERGİ BARIŞLI - EKSİKSİZ;2012;100.250;Beyaz;2.999.000 TL;"16 Aralık
2022";"Gaziantep
Şehitkamil"
Taycan;4S;AKSIN MOTORS'TAN TAYCAN KM 8000'DE;2020;8.000;Beyaz;5.400.000 TL;"16 Aralık
2022";"Ankara
Çankaya"
Panamera;Panamera 4;DOĞAN OTOMOTİV'DEN PUSULA CARBON ELK BAGAJ SUNROOF YENİ GÖRÜNÜM;2011;190.000;Beyaz;2.120.000 TL;"16 Aralık
2022";"Kırşehir
Merkez"
Panamera;Panamera Diesel;PORSCHE 2012 MODEL BOSE PUSULA TURBOJANT 4K ISITMA BAYİİ;2012;265.000;Beyaz;1.880.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
Panamera;Panamera Diesel;ÇELİK MOTORS PORSHE PANAMERA 178000 KMDE TAM DOLU;2012;178.000;Beyaz;2.455.000 TL;"16 Aralık
2022";"Sakarya
Akyazı"
Taycan;Turbo S;ÜNSALLAR'DAN DOĞUŞ ÇIKIŞLI HATASIZ 2021 MODEL TAYCAN TURBO S;2021;9.900;Lacivert;6.900.000 TL;"16 Aralık
2022";"Ankara
Akyurt"
Panamera;Panamera Diesel;2016 GÖRÜNÜM FACELİFT 175 BİN KMDE DAHA DOLUSU YOK BOYASIZ;2012;175.000;Beyaz;2.185.000 TL;"16 Aralık
2022";"İstanbul
Ataşehir"
Panamera;Panamera 4S;"""BLACK MOTORS"" 2010 MODEL PORSCHE PANAMERA 4S KUSURSUZ";2010;119.000;Siyah;1.915.000 TL;"16 Aralık
2022";"İzmir
Bornova"
Panamera;Panamera 4S Diesel;ARACIMIZ TAMAMEN KİŞİYE ÖZEL DOĞUŞDAN ÖZEL SİPARİŞ EDİLMİŞTİR;2016;90.000;Gri;7.550.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
Taycan;Taycan;FC MOTORS OTOPORT TAYCAN YOLCU EKRANI+SOĞUTMA+D İSTRONİC+KEYLESS;2021;6.100;Siyah;4.580.000 TL;"16 Aralık
2022";"İstanbul
Avcılar"
Taycan;4S Performance Plus;Aykan Kartal'dan-Porsche Taycan 4S Perfomance Plus Bayi Çıkışlı;2021;6.421;Gümüş Gri;6.900.000 TL;"16 Aralık
2022";"İstanbul
Kartal"
Panamera;Panamera Diesel;ELİT AUTO PORSCHE PANAMERA HATASIZ BOYASIZ BAYİİ STATÜSÜNDE;2012;179.000;Beyaz;3.150.000 TL;"16 Aralık
2022";"Konya
Karatay"
Panamera;Panamera Diesel;2015 PORSCHE PANAMERA BAYİ DİESEL 3.0 KM:84.000 İSTANBUL DA ARAÇ;2015;84.000;Siyah;4.100.000 TL;"16 Aralık
2022";"Şanlıurfa
Haliliye"
Panamera;Panamera Diesel;AUTOGOLD'DAN 2012 MODEL 3.0 DİESEL PANAMERA 220.000 KM'DE FULL;2012;222.000;Beyaz;2.550.000 TL;"16 Aralık
2022";"Sakarya
Karasu"
Panamera;Panamera Diesel;***ERY motors*** BOYASIZ - BAYİİ - PANAMERA - İÇİ KIRMIZI - DOLU;2012;174.000;Beyaz;3.150.000 TL;"16 Aralık
2022";"Antalya
Alanya"
Taycan;4S Performance Plus;cars of FERRO 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS 571HP;2020;8.200;Siyah;4.580.000 TL;"16 Aralık
2022";"İstanbul
Beşiktaş"
Taycan;4S Performance Plus;OCAKLI OTOMOTİV'DEN 2021 BAYİ PORSCHE TAYCAN 4S PERFORMANCE PLUS;2021;7.350;Siyah;6.100.000 TL;"16 Aralık
2022";"Antalya
Muratpaşa"
Panamera;Panamera Diesel;HASAR KAYITSIZ;2012;220.000;Siyah;3.000.000 TL;"16 Aralık
2022";"Kocaeli
Gebze"
Taycan;Turbo S;İLK SAHİBİNDEN KUSURSUZ TURBO S İÇ-DIŞ CARBON-SERAMİK KOMPOZİT;2020;10.000;Füme;6.666.666 TL;"16 Aralık
2022";"İstanbul
Kadıköy"
Taycan;4 Cross Turismo;2022 BAYİ HATASIZ TAYCAN 4 CROSS TURISMO AIRMATIC+BOSE+20 JANT;2022;7.000;Gri;5.350.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
Taycan;4S Performance Plus;HATASIZ 2021 TAYCAN 4S PERFORMANCE PLUS+TRÜFF+21 CARBON JANT;2021;9.000;Siyah;5.550.000 TL;"16 Aralık
2022";"İstanbul
Bahçelievler"
Panamera;Panamera Diesel;KUSURSUZ PANAMERA EN DOLUSU AİR-ISITMA SOĞUTMA-CHRO­NO-MAKYAJLI;2012;201.000;Beyaz;1.895.000 TL;"16 Aralık
2022";"İstanbul
Ümraniye"
Taycan;4S Performance Plus;MAÇA MOTORS'DAN 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS BOYASIZ;2020;10.280;Siyah;4.850.000 TL;"16 Aralık
2022";"Gaziantep
Şehitkamil"
Panamera;Panamera Diesel;2014 PANAMERA 3.0 D TİPTRONİC BAYİİ;2014;159.000;Siyah;3.425.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
Panamera;Panamera Diesel;2015 Porsche Panamera BAYİ MATRİX Isıtma Soğutma;2015;170.000;Siyah;3.750.000 TL;"16 Aralık
2022";"Denizli
Pamukkale"
Taycan;4S Performance Plus;CLK AUTO PORSCHE TAYCAN 4S PERFORMANCE PLUS YOLCU EKRANI-BOSE;2020;27.000;Füme;4.700.000 TL;"16 Aralık
2022";"İstanbul
Şişli"
Taycan;4S Performance Plus;2020-4SPERFORMANCE PLUS-SPORTDESiNG -SOĞTMA-BOSE-BİN KM;2020;1.200;Siyah;4.550.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
911;Targa 4S;!!! 78.000 Km'de Doğuş Çıkışlı !!!;2008;78.000;Siyah;2.300.000 TL;"16 Aralık
2022";"Ankara
Çankaya"
Panamera;Panamera Diesel;AKSER MOTORS 2013 BOYASIZ PORSCHE PANAMERA 3.0D VERGİBRŞ SOĞUTMA;2013;136.000;Beyaz;2.825.000 TL;"16 Aralık
2022";"İstanbul
Bağcılar"
911;Carrera 4S;DIACO UNIVERSAL - PORSCHE 911 CARRERA 4S PDK - SOĞUTMA - GARANTİ;2013;24.000;Siyah;6.990.000 TL;"16 Aralık
2022";"İstanbul
Beşiktaş"
Cayman;Cayman;HAYAT PLAZA'DAN 2009 PORSCHE CAYMAN BOSE +PUSULA YENİ KASA;2009;169.000;Siyah;1.490.000 TL;"16 Aralık
2022";"Sakarya
Erenler"
Panamera;Panamera Diesel;US MOTORS PANAMERA VERGİ BARIŞLI ISITMA SOGUTMA MULTİMEDYA;2012;167.000;Beyaz;2.225.000 TL;"16 Aralık
2022";"İzmir
Gaziemir"
Boxster;S;2009 MODEL 3.4 V6 295 HP BOXSTER S PDK SANZIMAN;2009;71.500;Siyah;1.430.000 TL;"16 Aralık
2022";"İstanbul
Ataşehir"
Taycan;4S Performance Plus;Sahibinden Taycan 4S P.Plus+yolcu ekranı+Bose+hatasız;2020;33.500;Füme;4.295.000 TL;"16 Aralık
2022";"İstanbul
Küçükçekmece"
Taycan;Turbo;UZMAN MOTORS 2020 TAYCAN TURBO-ARKA AKS-BOSE-AIRMATIC 680HP;2020;6.500;Gümüş Gri;5.250.000 TL;"16 Aralık
2022";"İstanbul
Gaziosmanpaşa"
Taycan;4S Performance Plus;2022 PORSCHE TAYCAN 4S PERFORMANCE PLUS BAYİ ÇIKIŞLI;2020;9.000;Beyaz;5.850.000 TL;"16 Aralık
2022";"İstanbul
Sancaktepe"
Taycan;Taycan;MERKAR - 2022 Porsche Taycan SportTurısmo PERFORMANCE PLUS;2022;6.001;Beyaz;5.290.000 TL;"16 Aralık
2022";"İstanbul
Bakırköy"
Taycan;4S Performance Plus;DIACO UNIVERSAL- PORSCHE TAYCAN 4S PERFORMANCE + - SOĞUTMA-MASAJ;2020;24.000;Siyah;4.690.000 TL;"16 Aralık
2022";"İstanbul
Beşiktaş"
911;Targa 4;PORSCHE 911 TARGA 4-BAYİ-ISITMA -SOĞUTMA-BOSE MUSİC-SPOR EXHAUST;2012;55.000;Beyaz;3.395.000 TL;"16 Aralık
2022";"Ankara
Çankaya"
911;Carrera 4;PORSCHE 911 CARRERA 4-BAYİ-CAM TAVAN-ISITMA-SO ĞUTMA-CHRONO-F1;2015;30.739;Gri;6.395.000 TL;"16 Aralık
2022";"Ankara
Çankaya"
911;Carrera;'X-CLUSIVE' 1999 PORSCHE 911 CARRERA - TRAMERSİZ - BAYİ;1999;88.000;Lacivert;1.565.000 TL;"16 Aralık
2022";"İstanbul
Sarıyer"
Panamera;Panamera Diesel;LİDER'DEN 2013 ÇIKIŞLI DOĞUŞ BAYİ ÇIKIŞLI ÖZEL FULL PAKET;2012;229.000;Siyah;2.255.000 TL;"16 Aralık
2022";"İzmir
Ödemiş"
Panamera;Panamera 4;Bİ MOTORS'TAN PORSCHE PANAMERA 4 VERGİ BARIŞLIDIR ISITMA+SOĞUTMA;2011;150.000;Beyaz;2.050.000 TL;"16 Aralık
2022";"İstanbul
Bayrampaşa"
911;Carrera;"2014 PORSCHE CARRERA -DOĞUŞ BAYİ- SİYAH/BEJ GARANTİLİ ""34.695KM""";2014;34.695;Siyah;6.100.000 TL;"16 Aralık
2022";"İzmir
Konak"
Panamera;Panamera Diesel;PORSCHE PANAREMA PLATİUM EDİTİON BAYİİ 300hp;2012;185.000;Beyaz;2.300.000 TL;"15 Aralık
2022";"Antalya
Muratpaşa"
Panamera;Panamera Diesel;Bayii çıkışlı;2015;61.200;Beyaz;4.120.000 TL;"15 Aralık
2022";"Bursa
Nilüfer"
Panamera;Panamera 4S Diesel;DOĞUŞ GARANTİLİ;2016;92.000;Siyah;8.380.000 TL;"15 Aralık
2022";"Elazığ
Merkez"
Panamera;Panamera Diesel;2012 Porsche Panamera Diesel Tam Dolu Vergi Barışlı Chrono;2012;256.000;Siyah;2.400.000 TL;"15 Aralık
2022";"İstanbul
Bağcılar"
911;Turbo S;SS MOTORS 2013 PORSCHE 911 TURBO S-SERAMİK-PDCC-B­URMESTER-CHRONO;2013;54.430;Beyaz;7.750.000 TL;"15 Aralık
2022";"İstanbul
Şişli"
Panamera;Panamera Diesel;PANEMERA FULL DONANIM EKSTRALI;2012;121.000;Beyaz;2.825.000 TL;"15 Aralık
2022";"Ankara
Etimesgut"
Panamera;Panamera Diesel;EFE PLAZADAN 2012 PANAMERA+94.000KM+HA­TASIZ+TRAMRSZ+BOSE+4 KOLTK;2012;94.000;Siyah;2.490.000 TL;"15 Aralık
2022";"Hatay
Antakya"
911;Carrera S;Baspinar Oto 2012 Porsche 911 Carrera S-PDK,Bose,Sp­orK,UztGranti;2012;70.500;Beyaz;4.515.000 TL;"15 Aralık
2022";"İstanbul
Sarıyer"
Panamera;Panamera Diesel;2013 ORJİNAL HATASIZ BAYİ ÇIKIŞLI MAKYAJLI KASA PORSCHE PAMAMERA;2013;230.995;Siyah;2.730.000 TL;"15 Aralık
2022";"Antalya
Muratpaşa"
Panamera;Panamera 4S Diesel;KOYUNCU AUTO BAYİİ 2016 PANAMERA 4S HATASIZ TAM DOLU 49.000 KM.;2016;49.000;Siyah;9.100.000 TL;"15 Aralık
2022";"Mersin
Erdemli"
Taycan;Turbo S;QUEEN'S AUTO 2020 PORSCHE TAYCAN TURBO S - SOĞUTMA-CARBON-BAYİ;2020;6.100;Siyah;6.825.000 TL;"15 Aralık
2022";"İstanbul
Bakırköy"
Panamera;Panamera Diesel;BAKIMLI EXTRALI TEMİZ 2012 DİESEL PORSHE PANAMERA;2012;233.000;Siyah;2.025.000 TL;"15 Aralık
2022";"Ankara
Çankaya"
